"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"NY",2626195,2585962,2610866,2720979,2699725,2917269,3037604,2934346,3172408,3227653,3178478,3069755,3139504,3216316,3150303,3104158,3146766,3052540,3042938,2906465,2909223,2962408,2936811,3030393,3102081,3046487,2949436,2795843,2760726,2687294,2612739,2855833,2989353,3202275,3331087,3611706,3667608,3714316,3474084,3678676,3999224,3909961,3912429,3971851,3885010,3770315,3683937,3598127,3423510,3156182,3067535,2995760,2902407,2826013
"NC",1728034,1646577,1705453,1866423,1736316,1930539,1995167,1927390,1997622,1946711,1899946,1892103,1874240,1935250,1831977,1847308,1849484,1820345,1691940,1599325,1643461,1570702,1446680,1450928,1503677,1472020,1415998,1454544,1384065,1413530,1375271,1369627,1421210,1439207,1428592,1327850,1377288,1354307,1230122,1351974,1424519,1369532,1296392,1264664,1201162,1129760,1053396,1005850,899127,839986,815048,781789,737836,697570
"ND",694859,676839,648093,620916,602515,622446,617812,601558,617490,587994,598766,608155,614956,597570,588336,567926,559762,568430,555320,558317,551438,548962,528401,514687,507835,510109,456783,451339,445717,402049,365031,350792,334506,314063,313611,289460,260073,249213,221724,229620,225176,230613,221765,206565,202572,203994,192595,180514,164163,169570,167497,165120,156081,159628
"OH",3176403,2998133,3208335,3322354,3186294,3497687,3585642,3512572,3623658,3558113,3627474,3532619,3459559,3608966,3525279,3494657,3558952,3601716,3421512,3376005,3399207,3351493,3266976,3289505,3455743,3415583,3296186,3245092,3211230,3230200,3139333,3291551,3557856,3674711,3977263,3943986,3888231,3972221,3798685,3940410,3963935,3887338,3674674,3720336,3672660,3521213,3349926,3337239,3152209,2983872,2892000,2820763,2676861,2791328
"OK",1539580,1565295,1579546,1571830,1561500,1644384,1614875,1614136,1556469,1455005,1496091,1464155,1463823,1440319,1404456,1420359,1424464,1423476,1391658,1397344,1414306,1362508,1336313,1337780,1327031,1308056,1270969,1201249,1299949,1356886,1337140,1339857,1288182,1288533,1371020,1315674,1258225,1211982,1101325,1093846,1044893,1045286,1001168,981762,905074,846434,774404,754323,775772,810662,776617,691143,575781,576324
"OR",612770,578493,576791,633162,642279,672998,680928,638117,650003,643204,618274,611330,631983,648953,679626,661220,568698,570388,531645,564928,539925,537855,520483,473649,471615,448136,419130,400364,413467,415032,388126,427396,438419,428819,466580,454863,419121,414047,423502,424058,460589,457870,420122,397110,389913,368437,341309,338805,315398,314050,289591,276747,262966,253540
"PA",3440695,3322194,3409521,3460897,3308032,3583463,3677314,3615893,3710001,3673927,3627652,3563086,3494346,3644660,3473079,3482971,3614027,3613545,3557304,3526396,3534863,3474721,3359308,3461622,3569130,3520533,3380923,3232283,3279467,3438706,3223881,3192003,3585396,3862567,4134373,3974956,3977822,4037818,3786480,3997045,4265956,4169414,4006573,4025996,3868971,3845137,3711388,3734819,3650631,3525990,3323086,3192846,3080948,3191841
"RI",166377,174057,182095,179861,182626,180980,177490,169108,179787,172889,183493,188115,198529,189142,218281,230553,222937,224050,202498,216726,176216,222383,173761,145059,148006,161405,158144,148303,145423,135082,122255,118472,121540,130928,143285,155651,169292,161571,160477,173003,186920,196633,200328,192992,184943,174356,173307,155140,155978,162255,168879,171430,165294,182642
"SC",976804,1013011,1076561,1122257,1081158,1125231,1160953,1166364,1157282,1173494,1067823,1074619,1043545,1070431,1028239,991444,956849,915441,872650,874940,873057,818051,827525,811026,803490,816559,764784,717122,708829,703239,662488,682131,744026,744059,720315,730497,749922,710304,603556,644435,686965,655184,625808,604901,556360,523437,484318,477058,436599,422472,442085,422783,388856,376293
"SD",232404,223289,220172,224446,218881,221571,205081,196812,198161,198542,199432,199403,191869,204900,196134,184698,191610,186385,182460,181870,174662,166411,162849,168903,168572,162816,138952,152236,156263,152518,146874,159679,151164,162568,179440,184413,176489,179659,160392,141817,148297,151156,144373,145939,137261,132017,126014,127017,122557,127743,126084,125519,120107,118306
"TN",1347700,1361160,1430150,1467889,1365871,1598539,1677048,1693741,1679403,1652677,1643706,1658245,1664230,1683770,1624518,1611387,1610222,1575051,1552645,1470709,1522586,1401220,1326192,1381333,1362624,1383397,1347681,1351561,1333243,1286033,1223944,1166474,1285568,1311312,1343052,1364098,1344838,1331678,1188824,1206132,1318983,1172189,1043737,1054777,1077601,1043451,926940,926390,841503,801077,828922,775181,757489,754556
"TX",11898678,11334546,11232353,10975794,10332463,10706249,11217461,11298778,11290004,11884008,11811386,11974275,11701778,11914541,11561844,11851425,11668119,11297801,10565897,10463985,10323290,10115007,9976230,10001740,9901623,9579246,9035634,8825216,8885317,8862494,8372433,8476973,9200643,9431344,9298008,8913088,8446541,7798082,7479215,8045876,8183479,7591555,7190877,6856044,6599623,6214794,5842990,5544541,5206215,5030581,4903742,4639538,4429307,4398983
"UT",896623,827680,857608,847526,854195,913064,922340,891352,862094,841463,819158,801474,812761,844650,810023,824579,792986,770688,756601,738111,726280,697190,692204,687041,663353,652501,573002,476900,497248,485981,455608,436839,453862,493660,505402,474079,445777,447599,437633,422664,405660,380438,372586,358986,359485,336894,321061,329162,317513,306819,287136,290191,287877,291003
"VT",84937,80239,85024,86080,90098,86292,95797,96907,99033,104101,95595,93027,97301,98766,93992,91024,97615,92156,87885,88087,88883,90075,84865,78902,83877,84328,81150,74800,75414,71924,63443,58709,64041,66142,76426,82528,82763,83273,73743,76205,84617,82598,78681,78709,74228,71212,67172,67435,61642,52322,55895,55537,54410,50166
"VA",1508416,1424445,1421770,1529297,1475941,1598053,1749424,1676563,1769449,1734492,1671416,1605982,1623928,1655409,1560143,1522577,1493003,1466703,1420947,1387566,1388834,1325552,1299857,1299737,1353122,1315740,1278041,1191444,1125166,1127734,1050367,1018456,1067735,1130816,1237290,1186077,1208806,1184860,1117306,1177296,1236975,1219494,1190040,1161145,1122030,1094666,1045345,1045712,998576,941625,915213,867223,830736,827180
"WA",1116117,1055570,1049319,1118955,1142397,1170137,1196576,1136223,1153564,1132016,1097636,1078502,1191573,1240107,1248464,1230133,1172088,1195795,1150375,1165942,1087426,1134515,1030061,1016315,1026180,985187,933380,861191,841262,813345,716041,770562,822977,821239,886032,839803,852021,794507,796380,784636,845765,772348,692114,670832,677041,653786,591240,568277,534194,518954,486541,473211,451609,439293
"WV",1107316,1078116,1133330,1161608,1050252,1297325,1343488,1321709,1316091,1296909,1325468,1377958,1235368,1342561,1345028,1343767,1307333,1264024,1236188,1253170,1163557,1148397,1120236,1210273,1281627,1248228,1188848,1181330,1191271,1229175,1144644,1136633,1237377,1223347,1215178,1167432,1233897,1246024,1180069,1209611,1180495,1092358,963198,953449,950956,939950,841327,840206,790639,770275,732115,690506,686775,636808
"WI",1409641,1281741,1355989,1358624,1340380,1455637,1454889,1429893,1535462,1491919,1466590,1482040,1461804,1498029,1474177,1410287,1437818,1406899,1346432,1300697,1257660,1206453,1218017,1184418,1210088,1192758,1115260,1095054,1109715,1112103,1085935,1077423,1094896,1157148,1258434,1277575,1244917,1194785,1168641,1192793,1234950,1192894,1205535,1235976,1188680,1109910,1073692,1030785,964576,918337,886592,856218,816414,790987
"WY",836008,815791,792524,801359,781672,817404,810531,769251,759172,765532,773608,748033,760665,758020,745714,761791,707658,714562,696670,723337,698493,735114,663089,683993,642153,660818,639716,526121,609096,564656,513665,572187,552024,514754,531018,477743,462396,400955,339219,329080,334788,320327,284863,278746,260691,225053,204586,186576,175900,173345,171840,175811,160805,144230
