"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"NH",147138,139740,150140,150407,157378,165065,168877,170847,191742,205579,200334,176784,166936,169234,173884,168268,159428,155820,150909,152057,147506,146957,146363,159071,173696,167494,166170,156154,130046,134613,112848,114923,122855,133661,137555,158607,158654,160076,137503,139049,150521,153216,149136,139891,129844,116310,112069,108450,96328,97171,99018,94835,88330,83397
"NJ",1002718,996177,1113899,1077436,1072149,1246092,1275617,1201779,1236161,1165925,1147132,1180843,1196289,1192866,1162230,1116104,1136640,1122399,1149295,1171096,1091063,1124217,1126218,1128254,1259397,1260151,1273914,1272843,1192125,1272680,1178104,1192042,1159762,1250193,1317817,1362856,1365952,1349206,1269814,1415346,1579104,1551929,1418182,1440368,1373167,1312262,1252689,1153554,1073471,1080593,1063943,1040276,969969,956495
"NM",257474,255125,254018,247334,245313,257921,279924,269457,255844,256575,249130,244055,239350,233897,241182,231328,218976,207819,207283,222964,233717,232460,227708,211433,199336,198710,197130,188688,188759,202658,208665,187907,214001,201709,214918,215369,212863,202690,199708,193361,191940,173924,157219,155889,147273,143599,126006,126788,128472,126256,118321,115131,107473,107067
"NY",1280221,1295865,1282091,1376070,1418765,1517710,1591215,1578811,1816376,1848945,1762860,1562280,1627998,1607968,1525301,1501741,1466190,1513179,1446064,1496343,1561835,1573699,1668004,1785650,1868626,1901103,1853644,1793292,1676471,1577909,1606562,1776157,1909844,2135995,2382352,2737881,2762880,2746218,2576040,2662555,2926881,2847301,2745178,2647098,2530434,2416887,2354700,2221058,2109614,1888654,1902877,1883814,1817764,1700158
"NC",823496,777230,801829,840932,836119,910508,927230,922423,950308,939621,908236,883590,906847,911686,867739,873708,862904,856725,817158,772263,761787,734640,706451,715890,745403,800035,761801,731135,695229,705904,639246,600764,611642,659362,736203,744283,755280,706830,636711,685426,727599,708917,647374,618425,588191,565379,547155,536095,495017,474042,467598,462956,441303,419196
"ND",221638,202227,184446,150363,130097,139967,142422,138487,138552,134046,122791,124543,138243,120102,124037,113349,120487,119185,114469,117142,115753,117627,113344,112126,118103,115309,116843,119103,118209,122503,124284,122874,126650,126911,136298,120615,115158,116550,116918,117606,120874,120190,119474,115363,119633,122210,116518,112616,106979,109678,110277,104692,96759,101742
"OH",1168025,1150101,1175372,1194294,1187783,1271227,1312026,1311503,1300588,1319805,1321681,1290151,1277131,1273185,1290367,1220606,1227707,1194966,1136553,1137649,1119266,1096389,1055163,1088486,1139158,1103424,1116048,1068926,1081912,1099491,1109707,1129089,1204053,1305544,1388441,1370582,1351232,1287809,1200751,1183382,1209370,1152099,1072063,1071758,1052629,1024115,949860,940980,918411,858925,822055,806419,771119,797298
"OK",532752,538617,536636,540984,519186,554500,571232,588937,562681,527640,545995,550245,582491,512524,493090,466331,458549,462426,435337,468228,458378,468516,433606,430751,436384,427466,412756,412555,458926,456687,462478,443718,435998,443256,466335,483298,458150,439690,421937,408529,415000,395212,369852,365330,346176,338085,313674,304309,294996,286822,283944,273667,258279,255228
"OR",339502,339305,348282,357865,365580,366737,380807,385903,378770,371016,360492,369663,354502,380453,395064,387043,358565,361917,359361,367416,364031,369912,359945,346266,353075,355859,332964,324930,317936,321751,308447,341678,333706,334394,363996,360166,338330,312341,306645,318441,344114,340303,311309,294491,293365,281035,262508,262961,248298,249238,235405,228752,218535,212656
"PA",1208774,1189405,1235361,1280651,1281773,1414093,1419352,1442364,1504789,1483879,1448772,1405740,1434606,1410463,1345656,1350924,1318729,1303400,1317785,1349813,1316902,1284379,1267142,1311449,1363535,1361851,1341041,1282190,1223688,1276748,1227684,1192197,1298262,1436932,1622032,1714248,1717475,1623644,1469701,1602966,1655844,1650789,1558380,1529139,1448780,1377648,1308691,1285478,1246407,1194277,1175103,1146496,1101426,1121239
"RI",80908,78621,82791,87595,91593,93092,90777,93317,98286,99149,103091,98250,99908,97303,97520,96460,102353,96825,98924,104557,99642,104503,95664,104531,112699,125802,121190,120668,114485,102322,92637,90142,92475,102816,115638,132188,143211,140460,136878,147958,165883,173510,173916,167144,161199,149486,147511,127174,127481,135088,140227,142200,136950,153634
"SC",503744,484557,494066,510317,530504,518602,537401,554054,549113,570109,496257,479450,481920,473210,458126,453196,436791,408979,402184,395419,398021,387967,399180,387716,381685,399633,360862,351704,346067,348014,324331,309670,332503,351444,392075,416840,418724,386846,337485,353876,361929,332094,313155,300478,278469,267344,245409,243318,224611,231665,245367,241166,222298,219299
"SD",117362,119981,117754,116342,118478,116328,120595,118570,120695,115141,114577,119964,112273,118105,115592,111903,113279,116743,112048,111159,108215,103335,97446,108574,108350,104311,103026,99622,96280,93243,92584,97708,92884,101984,118356,110467,104778,103428,103575,102417,110673,111633,106597,103801,97763,97841,92616,93522,90021,94675,94779,90422,87111,86207
"TN",688619,682949,705742,712912,691511,738176,790796,799055,795166,765912,756474,738649,711417,698045,689813,672134,637814,635007,620005,596933,575822,561680,526201,553286,567198,551990,544210,551820,536879,519483,477793,483772,492558,501095,566890,610186,582716,551681,492839,470422,485960,444488,402911,389252,383362,360763,332985,325979,291508,273798,263450,254045,236612,228339
"TX",6259523,5961319,5833518,5798613,5415789,5506886,6030305,6176519,6038413,6217190,6029105,5977151,5825923,5821670,5898080,5990370,5917058,5545128,5167773,5190792,4967971,5022621,4819706,4791526,4679610,4649951,4396301,4349561,4221956,4231430,4020170,4042884,4289787,4471095,4578967,4164877,3903469,3497050,3236113,3328733,3311415,3009638,2684253,2621400,2549765,2352938,2180870,2112436,1995577,1963858,1840141,1659393,1579111,1558527
"UT",290184,280106,287450,267329,269900,283547,302950,312508,289925,277735,276712,258905,262037,269139,257585,251520,245634,242721,228316,210829,206110,201772,205381,193286,190214,196739,192306,188240,174131,176097,176921,166753,168473,200417,213515,216814,211934,207222,203941,199810,190476,186459,179967,165832,170153,161349,151597,154303,142254,136717,136231,136678,126745,127596
"VT",77715,74415,78728,79949,84011,79394,87230,89052,90777,95367,87130,84603,89341,88195,83849,83144,86611,84653,80552,80689,81517,81998,77576,72022,77576,78549,75723,69194,68474,65701,57954,53104,58659,61655,71434,78232,78020,78993,68994,69951,78933,77426,73673,73901,69763,67654,63739,64331,58935,49592,52543,52518,50504,46659
"VA",816637,809886,780751,830380,840792,895586,978988,973890,1005043,1003459,941777,861503,892831,873849,831187,815891,803207,771473,751969,756436,743330,725060,731453,752648,788528,803275,775054,741592,683572,672254,628053,604158,648509,738081,886599,878517,901042,856758,824492,853531,884395,860897,812034,745761,660577,585151,556005,534048,513665,479267,468792,441857,429629,442354
"WA",731385,758479,738444,746927,759076,786117,831532,804080,776443,751792,729216,743027,771735,839072,851788,826244,825636,822121,818672,803667,766755,847845,761740,763310,761702,735574,701609,676129,607620,599104,524040,582096,600930,594833,621079,621741,600559,558421,548903,539159,572839,555945,520439,506730,516495,498744,447730,432316,405844,393192,379914,373278,363095,356855
"WV",191090,187582,191838,197862,194459,226341,236451,237063,231838,232018,213111,230039,218672,206845,204336,213555,199292,186137,207149,207436,198365,197995,199406,207783,209661,201258,193370,182959,194503,199771,198280,192540,205413,217943,234290,225120,235570,216469,198331,181242,178428,170922,160847,154540,150607,148114,140801,140988,137163,130690,130107,139429,132084,126836
"WI",525625,518615,530126,546188,542059,579423,601865,603496,611542,615421,589640,613101,611652,603951,610729,569054,551793,548948,522463,516750,503235,476550,478571,478723,487460,479004,447100,442035,437576,441176,431322,437535,440040,475168,565113,606235,583004,570303,524499,527288,550735,532332,513520,510176,490602,475159,459146,430696,412558,410982,411174,404597,390961,392571
"WY",161691,169533,165270,164096,162034,171394,170572,167552,155920,153129,159278,150287,156857,145899,147886,129026,131412,133066,129757,120807,120763,113087,109189,122904,129834,128694,125548,111090,117564,115575,114772,148011,160214,173649,174916,169906,153302,139408,129752,124610,121937,111513,108107,102732,109057,105796,95140,82236,86641,85529,86506,90873,81379,75638
