"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"NJ",713374,670970,677923,671474,638792,635200,640629,566905,625881,645017,636180,620750,585826,626484,743561,705462,742031,725720,720662,714059,667134,640629,510226,458050,483170,425050,432356,363009,389090,428258,417954,387306,403386,351039,269934,236852,255522,332467,251669,282201,309709,329642,335264,331247,316113,278430,261542,236816,219196,209714,197097,180307,159189,144132
"NM",252997,249815,251838,246201,247947,252831,239858,227661,225352,229165,225220,229691,259626,259018,231312,241406,261881,233557,219476,221479,224999,211096,227349,251470,205131,185246,164588,144532,162312,169781,184595,213350,205434,231330,223092,225451,242912,294878,255637,273397,274018,311897,291726,292522,276591,286329,280382,247390,224253,226697,239911,247090,218948,207301
"NY",1321627,1260950,1247757,1224485,1166620,1205144,1214362,1120200,1107220,1126606,1131362,1227224,1205883,1279693,1308656,1267065,1358091,1230771,1295400,1095583,1023167,1033951,917236,895361,870928,813134,801915,749938,784737,811341,739849,793099,775672,755879,633562,576482,567877,604276,585536,641925,703023,707277,731597,725813,698046,653282,602670,645684,558658,527890,520712,491055,450630,434127
"NC",445012,367948,311189,308710,252729,249654,244475,230169,237525,232214,227387,243144,215600,240729,224763,222659,223419,222106,212010,195307,192530,186905,172818,166744,166835,156550,153261,140301,138375,148744,141086,146819,154326,155156,133751,83695,73905,102996,116889,143722,165215,167831,164420,154856,140204,117794,100822,89442,78245,70932,64539,58346,52291,47032
"ND",88711,77469,77752,70046,57565,65746,62188,55683,54960,61245,61455,66927,62583,58512,58962,51428,59283,51588,47689,45369,42388,38260,41619,33529,31630,30189,26018,26567,29838,31631,27302,29108,35891,24037,29236,39067,37650,41177,36862,35530,33206,37604,34618,33731,32944,33317,32049,31864,32437,33390,32283,32045,29310,27356
"OH",946396,869934,849076,810958,771303,823936,836185,771312,861477,862912,878930,862535,838021,928425,873157,843871,938245,968562,923946,872832,865610,839324,799328,776588,848316,837521,747101,749750,765373,814353,772675,837111,890359,911335,920390,950973,867837,1031075,978885,1114904,1131760,1174203,1112130,1077151,1063953,1018464,994595,975841,909391,852659,826138,784630,746456,724824
"OK",683140,712411,676910,697351,681062,711379,677472,644381,600011,555272,556306,522531,505219,546706,550768,583964,573479,587957,586432,595671,600099,565655,589960,628222,620318,611171,617551,570749,603855,669277,655366,692328,694455,738931,844294,788658,787694,770752,678851,681130,625808,649909,631152,616279,558754,507884,460163,449319,480079,522805,490988,416403,316051,319270
"OR",244277,220578,203607,242914,254837,274659,260240,229731,239539,238052,215107,206813,235637,230965,246999,239271,193773,188211,152113,152931,141799,127165,127782,111727,111810,89168,82497,72534,85492,81473,69794,73941,78887,82324,97905,90025,75567,95830,114184,102365,114331,115326,105437,99572,92598,83504,73999,69324,59990,57979,46731,39190,35011,31941
"PA",1146557,1079497,1000509,909263,839666,778379,780240,684824,719255,723325,717592,700579,669073,727484,713570,667233,730778,771202,761505,739126,731808,717325,667168,680696,714975,692733,659058,631912,646939,699730,662626,714089,801954,792780,756079,688256,682372,731356,670085,732721,811496,856316,828583,797877,791217,741600,701546,702888,652906,632666,609513,568742,547651,540094
"RI",88559,98435,102465,95710,94877,91220,90259,78517,82460,74352,80339,89824,98571,91787,120720,134035,120532,127189,103527,112094,76632,117915,78091,40452,34853,31618,36936,27118,30860,32640,30060,28878,29845,28210,27526,23339,25964,20966,23453,24090,20888,22966,26201,25620,23503,21574,19251,17385,17036,16145,15343,14277,13227,12253
"SC",236934,250482,235465,225961,197419,175858,182201,181973,178397,169519,151920,190717,147173,165091,167978,164881,158683,154066,156021,148867,145626,141785,137441,134106,119856,115342,108620,101506,100198,111248,104376,101043,145189,146922,121479,121336,141633,152416,125900,135291,157128,148156,160638,164305,145896,132104,104561,100873,90513,82101,78478,73118,63060,60581
"SD",84527,71501,73973,72926,66317,65453,54100,40861,42853,41762,43925,41535,37040,38130,36009,33374,36803,37430,34776,31290,31718,27045,26733,25456,25938,24711,21361,23409,25454,24862,23583,25064,22100,24029,25611,35395,36097,39168,32534,32044,31283,34214,31959,36464,33995,28959,27846,28256,26884,27528,25084,28372,26724,25392
"TN",286096,281007,267929,263365,223019,238441,229520,230047,238400,238760,265807,263691,265461,280679,286375,287447,291844,289382,264889,254082,263161,249246,234603,227525,228568,220884,206990,194016,196735,211305,199086,212133,227106,233335,233860,189201,208401,218483,224065,265374,300079,283375,270841,261784,257524,243425,241965,236752,211142,191178,179197,173967,166703,151740
"TX",4137387,3969949,3805524,3694976,3485553,3657223,3631641,3549528,3625119,4043094,4180256,4449191,4389908,4550106,4138086,4377957,4231566,4268665,4037539,3885073,3925166,3768324,3824190,3877833,3886116,3665187,3435413,3312929,3514373,3556198,3335519,3503025,4052341,4226105,4131399,4329773,4254885,4074690,4046930,4584002,4746155,4531777,4482576,4203877,4024717,3836859,3638596,3404262,3181456,3040492,3044428,2959563,2831993,2815483
"UT",258858,232630,230672,229078,223646,237414,231125,197894,168770,164153,163527,172365,167582,173439,169255,177960,172248,168059,166860,146416,149255,132362,142458,126913,123414,117778,106906,99706,123750,124247,118449,110526,109703,124990,120980,113322,100999,138603,117952,115206,116335,116399,113876,114377,110888,101626,97068,95740,99810,99071,88494,87938,79168,72441
"VT",9746,8290,8679,8502,8681,8667,8876,8064,8406,8720,8451,8401,8014,10552,8129,7828,8314,7466,7263,7282,7225,7573,6988,6678,6064,5494,5113,4954,4958,4829,4324,4340,4352,3951,4398,3819,4025,3700,4005,4785,4212,3817,3066,2679,2391,1674,1374,906,0,0,0,0,0,0
"VA",433664,424050,383527,385931,330625,310740,331110,283497,311736,285757,272437,266981,246654,278198,287330,271542,259936,270581,284332,261606,248973,221204,188719,192084,180848,170234,165253,146664,144897,148750,147232,155040,155379,161015,136958,136935,120734,125855,123625,146811,156669,159705,147758,140072,132739,125708,119364,125287,98615,91963,86240,79884,73034,68431
"WA",328011,271947,272261,294871,319739,307085,279429,271034,272167,269572,255839,240494,322413,297569,302262,303307,268141,283909,264474,263176,229616,180769,179395,167616,167988,150595,136092,121793,139983,131970,111802,114412,131189,135466,165950,133338,149077,154881,171236,191311,207952,179823,165279,158242,153481,148065,135245,124827,116216,113935,93433,84281,72805,67207
"WV",151312,140133,124935,121780,118643,119617,124555,126316,124984,129359,135367,155536,150543,157926,147675,151873,170349,164286,157816,155098,144246,137666,118823,129005,139427,131544,123734,121128,125018,130959,120214,136141,154468,147624,152059,156607,150605,157204,164297,186565,191905,204916,183553,186535,176295,189957,157423,179195,176111,172374,163925,159207,168291,155554
"WI",450169,410305,399247,376627,392485,415109,403947,376559,415583,385999,397869,388007,363022,397553,385142,372082,404959,408101,385342,360445,352383,334868,333845,311237,332749,319683,281600,281637,311449,307516,301791,315752,327533,354672,372258,375286,354397,320512,372097,386865,373480,326921,354746,344241,324186,278560,253737,229393,204093,173946,156163,141294,117658,93792
"WY",156185,158546,161776,154759,147220,147129,145985,112929,112863,111877,120434,117386,103990,105975,101660,116505,107907,107588,103848,112252,110499,130703,103129,101316,86892,86728,86362,78780,86363,89951,85642,91105,73130,73114,87157,79758,78354,82478,81434,95363,110445,128728,117938,112526,96068,75649,69619,62891,54805,55437,55041,61189,59326,52828
