"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"OK",24,24,23,23,21,17,14,11,10,8,8,6,5,2,2,2,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OR",2803,1476,1286,1114,1061,1005,1012,994,997,930,901,886,861,763,693,499,435,431,404,409,413,409,401,392,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PA",2162,2162,2180,2018,1790,1481,1293,1128,1009,872,788,593,544,511,511,477,415,381,335,304,301,270,236,202,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RI",57,57,127,20,17,14,11,9,8,7,7,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SC",648,648,605,624,554,444,372,307,265,232,213,164,150,134,134,118,114,106,101,94,102,96,89,82,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SD",1868,1868,1962,1716,1576,1456,933,867,813,706,637,511,479,442,437,386,311,291,248,233,216,197,175,154,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TN",213,213,199,205,182,146,123,101,87,76,70,54,50,43,43,38,37,34,32,30,33,31,29,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TX",2478,2478,2488,2316,2057,1699,1486,1296,1161,1007,914,694,639,562,562,516,451,417,370,341,339,307,272,236,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"UT",3851,3993,4027,3449,3490,3294,2325,2562,2503,2534,2539,2815,2165,2088,2113,2159,2226,2463,1920,2463,1942,2347,2365,2004,2238,1799,1707,1793,1144,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VT",29,29,27,28,25,20,14,11,10,8,8,6,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"VA",1701,1701,1764,1569,1392,1163,1031,917,830,715,643,481,442,384,384,364,305,279,239,216,205,179,152,125,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WA",1136,1136,1262,1013,902,788,728,683,642,553,494,370,343,341,341,313,241,218,174,153,133,116,96,77,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WV",32,32,30,31,27,23,17,15,14,12,12,10,10,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WI",615,615,574,592,525,421,354,292,252,220,203,156,143,129,129,114,110,103,97,91,98,92,86,79,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WY",663,663,670,598,591,569,644,693,745,718,714,673,671,671,671,649,649,649,649,649,649,649,649,649,649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
