"","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980","1979","1978","1977","1976","1975","1974","1973","1972","1971","1970","1969","1968","1967","1966","1965","1964","1963","1962","1961","1960"
"NH",57958,49812,50186,48812,49885,43607,38399,35996,42479,34927,29851,28898,30188,38622,38908,40587,42283,47634,39481,40357,42448,42211,40894,46824,40567,36549,34985,38742,33807,35004,38209,33759,36078,32382,33548,31004,31271,31050,25853,28694,30671,26131,24733,25321,27816,25155,24089,24343,22019,23707,24450,25119,23327,25629
"NJ",89007,81002,75074,71338,66613,50808,52932,47692,29257,27514,26720,28691,29986,41004,40467,39547,40227,42056,44210,41744,37060,38584,35957,26111,34853,41856,38592,41534,49683,48816,60308,49211,54426,48383,43101,41662,38510,35091,30950,33097,30289,29554,26621,25906,25354,24678,23695,23570,23693,23947,23397,21199,20749,20514
"NM",45334,44043,41830,38538,32907,36353,31586,28080,23501,11711,8755,8195,7924,10635,10249,10064,9781,8612,9803,8170,8851,9320,9355,8729,9927,8594,8592,11126,10521,9926,9201,8035,7731,6223,9922,7989,7328,6781,6002,4919,4896,4746,4965,5548,5682,5706,5678,6210,6075,6300,6469,6791,6937,7373
"NY",410154,391805,428708,397709,407915,426872,390021,399779,373649,383244,359273,364285,351113,430506,420320,460173,492995,441197,393528,409939,421578,395101,379045,390944,379015,365628,400041,429134,415540,409565,435889,397442,413896,404671,368358,354864,342161,368500,354900,362988,364685,347985,326609,325491,339647,320307,301664,288582,262743,247409,260059,277979,250832,189314
"NC",220307,181608,181202,182713,179828,167089,117234,139723,147440,147620,188854,130790,131872,139516,142638,163014,167590,174115,168814,187844,157581,159971,137704,168723,167665,115314,134887,114112,137560,160144,149658,143364,108282,135910,191639,159172,146565,136973,139828,139607,142789,135756,128148,111796,119495,117146,118616,114335,123608,131745,116481,127402,120692,127507
"ND",97373,100199,104081,86096,63549,42795,31570,25257,22657,24081,24177,21725,19483,26151,30685,27325,37662,36101,29912,23492,18259,21389,22111,21154,24212,23859,25054,29018,27227,28819,28400,29855,25970,28555,28886,31963,21338,34411,35262,28922,25135,32507,34285,29922,31071,26339,29255,20421,26438,20014,15915,14054,15420,11880
"OH",148020,134319,125656,118802,112816,114478,82152,75760,73228,66661,63575,55045,68330,98930,93557,85955,86935,85996,87818,94253,65996,84109,85300,79957,112103,131494,125393,119814,131331,128420,132120,114311,113023,107374,74657,69632,58582,52843,46299,48408,46607,44940,43520,44149,44467,43465,39669,41531,38720,38010,38172,36983,36414,36966
"OK",170026,129971,108361,103937,91423,86860,81356,53930,64934,62062,41958,40919,48394,47393,55321,60595,55186,51675,53293,50127,67959,53295,41218,49916,50346,37117,45998,45383,57165,39885,39850,37437,23880,24855,46806,37416,32743,29303,42644,48830,50756,26724,21321,21730,26940,23406,14604,13064,16230,11373,10640,16660,20187,17766
"OR",464503,501872,519119,399019,422522,418352,401456,437552,368089,387020,386743,403576,351507,437858,510895,455595,530611,517465,467175,368004,417192,375981,484643,487414,481681,470568,477093,532746,529625,590530,574207,561127,428803,401129,387287,408647,327769,434370,417387,432867,351043,435930,419311,371350,350230,271743,243110,232649,230410,215793,199225,197646,188915,190489
"PA",216593,189353,198004,176889,163613,145069,119305,117727,108989,117865,110544,97106,97176,114718,110245,111706,119659,135606,119303,114050,105526,107595,90254,91862,98085,108182,108025,117214,148238,152019,167142,149605,147662,136826,106837,90536,84322,81184,73865,72077,70871,70114,60573,67525,61805,62881,68253,63676,61262,60590,60798,61767,61121,66100
